data_index,用户名,评论日期,电脑配置,评论内容,有用数,重复购买情况,评分,内存,硬盘,屏幕大小
443,jd_0izrs9yahvw13s,2025-10-18,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,京东大品牌果然没让我失望，电池续航非常长。追剧一天都不在话下，小巧便捷，非常容易携带接口也够多，完全够用，运行速度非常快。偶尔打打游戏也是不错的选择。日常办公娱乐用它足够了,0,该店铺购买≥2次,5,32G,1T,14
444,沙漠绿洲宋,2025-10-26,16英寸锐龙版 标压锐龙7 H 255|24G 1T,运行速度：还没测屏幕效果：镜面屏 清晰 有反光散热性能：底部挺热 风扇声音不大外形外观：还可以就是有点暗轻薄程度：轻薄本散热能力：可以风扇声音不大其他特色：暂时还没发现运行速度：没测,0,该店铺购买≥2次,5,24G,1T,16
445,中***批,2025-10-25,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,这款笔记本性价比超高很划算。质量过硬，运行流畅，与描述完全相符。物流配送快，服务也周到，有问题能及时解答，这次购物体验很棒。,0,该店铺购买≥10次,5,32G,1T,16
446,jd_139265ufj,2025-11-08,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,物超所值，物美价廉 大品牌值得信赖,0,该店铺购买≥2次,3,32G,1T,14
447,三***思,2025-08-12,14英寸锐龙版 标压锐龙7 H 255|24G 1T,快递很快，电脑便携，整体颜值很高，办公用这个性能足够了，运行一些小游戏也没问题，屏幕效果：屏幕没得说，色彩鲜艳，散热性能：散热加个支架运行速度：很快很快,3,否,5,24G,1T,14
448,霭凝,2025-08-17,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,孩子马上上大学了，选中了这款电脑，联想大品牌值得信赖，京东物流也相当给力，孩子很喜欢，运行速度快屏幕效果好，小巧方便！,1,否,5,32G,1T,14
449,dnx9dw2226l7eh,2025-09-05,14英寸锐龙版 标压锐龙7 H 255|24G 1T,客服服务态度很不错，很耐心解答，快递三天左右可以到货，电脑目前使用起来还可以，散热有些不太足，刷一会儿抖音就很烫，不过在下面放两瓶矿泉水就好多了。不过好可惜，我刚买完没几天就有国补了??????安徽国补你怎么回事啊啊啊啊，早不补晚不补，偏偏我买完后才补。不过电脑还是不错的，客服也不错的,0,该店铺购买≥2次,5,24G,1T,14
450,爱笑的俱乐部,2025-10-18,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,购物体验超级棒！商品物美价廉，质量绝佳。物流高效，商家服务耐心，售后无忧。运行速度：非常快屏幕效果：美，好看散热性能：玩了三个小时还是没有感觉到热外形外观：非常满意,0,该店铺购买≥2次,5,32G,1T,14
451,j***4,2025-09-26,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,京东上买的非常不错的一款产品，官网上买的，性价比很高，流畅清晰，质量轻，用起来很丝滑，推荐大家入手这款产品，非常不错，推荐。,0,否,5,32G,1T,16
452,小财迷棒棒哒,2025-09-20,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,之前上大学的时候就买过联想的电脑，现在又买这个工作以后，又又想买了联想的笔记本，电脑，真的特别的好，超薄本，用着非常的舒服以后还会买联想家的电脑。,0,该店铺购买≥2次,5,32G,1T,16
453,j***8,2025-10-21,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,收到货后打开看了下，快递包装挺好，机器外观不错，因为是给孩子买的，只是体验了下手感，有待后续的使用。,0,该店铺购买≥2次,5,32G,1T,16
454,释蒂,2025-10-20,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,联想14Pro是全能轻薄本首选。2.8K 120Hz屏细腻护眼，性能强且散热稳，84Wh长续航+全接口，1.46kg便携，兼顾办公与轻度创作。,0,该店铺购买≥2次,5,32G,1T,14
455,jd_b8o0tu1pd26vwh,2025-10-16,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,在直营店买的，运行流畅，屏幕分辨率高，外观大气，适合办公、学习的宝子们，16英寸屏幕看着敞亮，不累??,0,否,5,32G,1T,16
456,帅***奶,2025-10-19,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,包装很好，东西完全没有破损，打开之后各方面都很好，性能很流畅，非常不错的一款电脑，性价比特别高，不错不错，很满意，会认准这个品牌,0,否,5,32G,1T,14
457,m2wlth65k0t0le,2025-10-17,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,物流很快，下单后第二天就及时收到了电脑，快递员非常热情服务，提前打电话确认上门时间，收到货迫不及待的就打开了，哇包装非常细致周到，第一眼看到电脑很惊艳，是我想要的款式，而且办公本也不是很重，携带起来也很方便，客服也非常耐心的告知如何开机检查使用全过程都有指导视频！非常满意！,0,该店铺购买≥2次,5,32G,1T,16
458,j***h,2025-08-05,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,物流很快，两天就收到货了，小巧玲珑用起来很方便，也挺薄的，薄款还是轻巧，颜色没有什么色差，大小也挺满意，是自己喜欢的样子，还可以。,0,该店铺购买≥2次,5,32G,1T,14
459,j***m,2025-07-28,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,看了好久，最终确定联想小新这款笔记本真是太棒了！??性能优越，屏幕清晰，操作也很流畅。包装完好无损，附带的软件也很实用。物流很快，服务也不错。总体来说，这次购物体验非常满意！,3,否,5,32G,1T,16
460,西***剧,2025-10-19,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,想小新14笔记本电脑以其出色的便携性、强劲的性能、良好的显示效果、长续航能力、优质的设计和丰富的接口而受到用户的青睐，适合日常办公、学习和娱乐使用。便携性,0,否,5,32G,1T,14
461,面***生,2025-08-02,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,不错，自带的win11就先不换了，自带的联想软件也挺不错轻度游戏可以，稍微大点的就发热严重了感觉办公完全没问题,0,否,5,32G,1T,16
462,b***3,2025-07-31,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,单位采购用来开发人员办公的产品，外观精致，整体很小巧，传输速度快，非常实用，京东物流送货快，隔日达，非常满意，还会考虑回购的,0,该店铺购买≥2次,5,32G,1T,14
463,jd爱笑的眼睛8,2025-10-16,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,这款联想小新笔记本电脑非常不错，屏幕清晰度高，用起来很舒服，开机速度快，散热性能好，京东物流相当给力，头天买的第二天就到了，外形外观好看,0,该店铺购买≥2次,5,32G,1T,16
464,贪恋你的笑-,2025-08-22,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,运行速度挺快，质感还不错，这次叠加国补，价格很到位。京东物流速度一流，买家电到京东。价格非常的美丽，东西还是不错的，会继续回购！全五分！奈斯奈斯～,2,否,5,32G,1T,16
465,五***弟,2025-10-17,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,很早之前就一直在看这款联想的笔记本电脑，终于在价格合适的时候拿下了它，京东快递配送速度很快，第二天就拿到啦，买来送妹妹的，不错,0,该店铺购买≥2次,5,32G,1T,14
466,jd_43vag245p3gfg5,2025-10-15,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,不得不赞，质量真的好，包装物流也不错。真心喜欢，入手后不会让你后悔的！超出预期，质量很好，做工精细，满意屏幕很大，目前没有卡顿，很酷,0,否,5,32G,1T,16
467,j***l,2025-08-19,14英寸酷睿版 标压酷睿5 220H|24G 1T,单位一下购置了三台，二十多年一直都是联想的品牌，行业特殊，只有联想的品牌，能兼容所有专业软件！这个版本的属于性价比之王。在此大环境下的工作机优选,0,该店铺购买≥2次,5,24G,1T,14
468,jd_z470mzf51a6z0j,2025-10-21,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,非常不错看了很久了深得我心这是一款办公非常方便的电脑携带方便续航久一些基础的办公绰绰有余在京东购买的大品牌有保障售后保障非常好,0,否,5,32G,1T,14
469,j***x,2025-08-19,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,给家里人买的，办公用，背着跑来跑去很方便?? ?˙?˙? ??基础使用足够了，主要是看重便携性?(???????)?带着方便,1,否,5,32G,1T,14
470,j***k,2025-10-24,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,非常不错，外观看着挺高大上的，也不是说特别厚，是我挺喜欢的类型，比外面性价比还高，挺有性价比的，推荐 推荐,0,该店铺购买≥2次,5,32G,1T,14
471,S***r,2025-08-05,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,速度这是挺快的，毕竟是新电脑，是看购买量挺多，不过交易行联想电脑这是用了第二台了，还是存吧只能说中规中矩，普通学生党还是推荐！,0,该店铺购买≥2次,5,32G,1T,16
472,吃不吃香菜z,2025-10-24,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,联想是一线大品牌，品质值得信赖，买电脑就怕遇到坑货的商家，选择大品牌就不会有这种事儿发生了，所以我选的联想，整机做工很精致，性价比超高，我推荐购买,0,该店铺购买≥2次,5,32G,1T,16
473,难回以前,2025-08-27,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,给孩子买着去大学使用的！昨天下单今天就到货了！孩子非常喜欢！希望大学四年好好学习！认真听课！对比了几个品牌最终还是选择联想笔记本电脑！放心的选择！,1,该店铺购买≥2次,5,32G,1T,16
474,大帅小果,2025-10-15,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,联想笔记本太赞了！金属机身质感高级，性能强劲，多开文件和专业软件都丝滑流畅，续航也够用，是高效生产力工具。,0,否,5,32G,1T,16
475,kangshifu520,2025-09-14,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,"运行速度：新款5的U,屏幕效果：很清晰散热性能：不错外形外观：颜值可以的轻薄程度：很轻巧方便携带其他特色：OK散热能力：很不错运行速度：可以的",2,该店铺购买≥2次,5,32G,1T,14
476,jd_s72m876rha0m32,2025-10-17,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,小新16Pro性价比超高，外观精美，价格实惠性能却强劲，运行流畅。高清屏幕观影修图体验佳，丰富接口使用方便????????,0,否,5,32G,1T,16
477,麦***1,2025-08-15,16英寸锐龙版 标压锐龙7 H 255|24G 1T,运行速度：非常给力屏幕效果：清晰散热性能：厉害得很外形外观：包装物损坏 物流很给力轻薄程度：非常轻便非常好 配送给力 服务好 yyds,0,否,5,24G,1T,16
478,x***y,2025-08-31,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,屏幕效果：感觉色彩不错，亮度也高运行速度：开机、打开办公软件速度快。其他的还没试外形外观：个人还比较喜欢，简洁轻薄程度：家用、携带都方面,0,该店铺购买≥2次,5,32G,1T,16
479,jd_182926ljp,2025-09-14,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,运行速度：速度方面还好，没有卡顿屏幕效果：屏幕较大，适合办公用散热性能：散热挺好轻薄程度：在电脑里面不算太重其他特色：16英寸的对我个人而言屏幕有点大，经常外出携带的话，可以选14英寸,0,该店铺购买≥2次,5,32G,1T,16
480,jd_151944hvt,2025-10-19,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,运行速度：运行速度很快。屏幕效果：看上去很不错。散热性能：挺好的。外形外观：携带方便，喜欢的外形。轻薄程度：超薄的。搞活动，挺划算的，物美价廉值得购买，建议大家购买尝试使用。,0,否,5,32G,1T,14
481,g***o,2025-09-01,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,电脑是给孩子买的，收到之后孩子自己连网开机，自己弄的，用了之后基本体验是，好用，评价不错，屏幕清晰，运行速度快，售后服务选的是增值保价，在京东买东西就是放心。,0,否,5,32G,1T,16
482,旧***恋,2025-08-10,16英寸锐龙版 标压锐龙7 H 255|24G 1T,这笔记本真的是太好了，第二天就能收到货，是自己用的，很流畅，显示的也很好看，非常的满意，特别推荐购买，现在价格也很合适，质量用着也挺好的，包装不错,0,否,5,24G,1T,16
483,Bosque_斯坦森,2025-10-26,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,电脑很好用运行速度：很快屏幕效果：刷新率很高不卡顿散热性能：很好轻薄程度：轻薄使用方便其他特色：可以带动cs和瓦罗兰特值得推荐,0,否,5,32G,1T,14
484,詹***8,2025-08-10,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,运行速度：很好屏幕效果：护眼模式散热性能：一般外形外观：轻精美轻薄程度：轻其他特色：银色散热能力：很好,0,否,5,32G,1T,16
485,小***栓,2025-10-15,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,帮妹妹买的  联想大品牌  18年买了一台小新 到现在能用  什么配件没有换   简单简单玩个网游也是能玩  够用  运行速度快  电池续航日常办公妥妥的够用   屏幕显示很清晰  储存空间我买的1T   日常办公学习够用,0,否,5,32G,1T,16
486,j***g,2025-10-21,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,"- 优点：""很好用，内存大，反应快，性价比很高""?- 特色：OLED屏幕显示效果出色，轻薄便携适合移动办公",0,该店铺购买≥2次,5,32G,1T,16
487,半分笑颜2024,2025-08-16,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,这款电脑挺好的嗯，用起来特别上手，方便易操作，颜值在线挺好用的，非常喜欢，国补很香的，大家喜欢的可以入手散热，很好，样子特别漂亮,1,该店铺购买≥2次,5,32G,1T,16
488,j***l,2025-09-02,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,外观美观看起来非常的高大上，磨砂外观，做工精细，是正品，物流也很快，服务态度很好，非常的满意的一次购物，下次如果需要也会优先考虑这个品牌的帅就一个字??,0,该店铺购买≥2次,5,32G,1T,14
489,30w97b6rp8ny3d,2025-09-28,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,联想笔记本电脑性能不错，外观简约大气，使用起来非常流畅，性价比相当高！??? 整体感觉很满意，推荐给大家！,0,否,5,32G,1T,14
490,v***2,2025-09-14,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,运行速度：速度很快，运行流畅屏幕效果：屏幕分辨率很高，非常清晰散热性能：散热性能很好外形外观：外观简洁耐看轻薄程度：轻薄，方便携带,0,该店铺购买≥2次,5,32G,1T,16
491,u_5cunldjpc4sf,2025-10-19,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,电脑非常反映敏捷快速，家庭使用方便，内存大，存储空间大，屏幕分辨率高，看视频非常清晰。,0,该店铺购买≥2次,5,32G,1T,16
492,jd_045u4u5ykb1eu3,2025-09-11,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,运行速度：非常快，屏幕效果：也很好散热性能：声音小，办公非常舒适外形外观：很喜欢轻薄程度：非常轻薄,1,否,5,32G,1T,16
493,带***花,2025-10-18,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,屏幕效果：清晰可见运行速度：打游戏不卡外形外观：外观非常好看轻薄程度：很薄散热性能：目前觉得很好,0,否,5,32G,1T,16
494,y***9,2025-09-20,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,物流一如既往的快，屏幕显示很靓，存储比原来的旧电脑大多了，运行速度迅速，是一款比较实用的好帮手。,0,否,5,32G,1T,16
495,9r77h6nd4nvd59,2025-10-19,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,京东快递很快，而且送货上门，电脑收到，包装很扎实。质感不错，很喜欢。打开使用很丝滑。速度很快,0,否,5,32G,1T,16
496,j***6,2025-10-15,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,笔记本很薄很轻，开机速度很快，翻盖自动开机设计挺好，颜值也不错，16寸屏幕很舒服。,0,该店铺购买≥2次,5,32G,1T,16
497,r051f9qb6cko38,2025-10-18,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,键盘手感不错，完全静音，屏幕高清，使用不卡顿，情薄本中性价比很高，能够流畅游玩多种网游值得入手,0,否,5,32G,1T,16
498,j***5,2025-10-17,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,东西很好，质量有保证。联想值得信赖！！！芯片还牛，上来就试了试渲染，挺不错的，随身办公超级方便！,0,该店铺购买≥2次,5,32G,1T,16
499,x***t,2025-10-19,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,电脑很好，外观时尚大气，键盘质感好，开机后运行流程，颜色也很丰富，还带ai功能。,0,否,5,32G,1T,16
500,s***8,2025-10-25,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,这款电脑容易携带，外观很喜欢，用起来手感很好，CAD用起来很顺，而且联想售后值得信赖??。,0,该店铺购买≥2次,5,32G,1T,14
501,LEle0413,2025-10-17,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,这款笔记本外观好看，小小巧轻便，键盘好用，运行速度快，能满足的生常工作学习，值得入手。,0,该店铺购买≥2次,5,32G,1T,14
502,z***8,2025-10-15,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,挺好用的 14寸挺轻 方便放包里 开机速度快 跟着网上视屏改一下设置 很不错 记得激活,0,否,5,32G,1T,14
503,随风摇曳的狗尾巴草,2025-10-18,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,笔记本非常的 nice，屏幕非常的清晰，用起来十分的丝滑，看电影一点模糊的感觉也没有,0,否,5,32G,1T,14
504,勇***l,2025-08-08,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,还在摸索中，做工不错，金属质感，外观也漂亮，还在使用中，再看看效果吧，当前感觉还可以,0,该店铺购买≥2次,5,32G,1T,16
505,jd_u20ln022pds2cl,2025-09-30,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,结果非常的够用，我感觉挺容易携带的，重量也不是很重不压手外观挺好的，我感觉这个打游戏非常非常流畅呀,0,否,5,32G,1T,16
506,u***1,2025-10-15,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,这款联想小新Pro16真不错！屏幕大又清晰，运行速度快，轻薄便携，办公学习都很给力，强烈推荐！,0,该店铺购买≥2次,5,32G,1T,16
507,四***逢,2025-10-14,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,颜色耐看漂亮，键盘字体清晰，手感很好，高清大屏幕，期待使用效果外形外观：高大上轻薄程度：中等,0,否,5,32G,1T,16
508,今天我当家,2025-09-21,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,系统非常流畅。性能很好。屏幕很清晰。值得购买。不好的地方就是没有包，也没有鼠标，太减配了。,0,否,5,32G,1T,16
509,bg5xj73i10j75o,2025-10-17,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,。质量很好。屏幕效果：屏幕效果非常好。运行速度：运行速度也很快。外形外观：外观很帅气。,0,否,5,32G,1T,16
510,本***哥,2025-07-28,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,轻薄，颜值高，给侄女上大学用的，孩子很喜欢，比实体店便宜好几百。配置高，速度也够用,0,该店铺购买≥2次,5,32G,1T,14
511,l***闺,2025-08-10,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,买了几十次了，最后价格都买高了，特别好的电脑！！！公司采购了太多了，新员工标配，现在用了很久了特别喜欢，样子也好看，功能齐全,1,该店铺购买≥2次,5,32G,1T,14
512,城***城,2025-07-29,16英寸锐龙版 标压锐龙7 H 255|24G 1T,还不错，看着挺轻薄，就是没有任何赠品，按理说5千的电脑啥也没有很可惜，希望店家配一些电脑包以及鼠标之类的。现在的电脑售卖很苛刻。,0,该店铺购买≥2次,5,24G,1T,16
513,1***7,2025-08-23,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,"入手小新16pro,好看，轻薄携带方便，平常办公做个视频剪辑足够用，金属外壳，散热也不错，超喜欢！",0,否,5,32G,1T,16
514,有***量,2025-10-16,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,京东物流极速，期待的联想小新终于抢到了，外观漂亮，开机速度快，键盘灵敏漂亮，操作起来总体效果好。,0,否,5,32G,1T,14
515,jd_36r98lz8xv63q1,2025-09-13,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,配送很快，电脑很轻薄，已经激活，运行很流畅！分辨率也高，颜色很赞，买给女儿读大学用的。,0,否,5,32G,1T,16
516,2***8,2025-07-29,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,电脑运行时声音不大。服务态度挺好的，性能满足我的需求。大小合适。散热一般。整体还可以满足需求。,0,该店铺购买≥2次,5,32G,1T,16
517,gul88959kafvxf,2025-09-06,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,存储空间很大，运行速度很快，收到时非常惊喜，手感很好，电池续航也够，是个值得购买的好电脑。,0,该店铺购买≥2次,5,32G,1T,16
518,j***丨,2025-08-03,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,用了有一周了，很流畅，目前没发现任何问题，用的挺好外形外观：颜值很强，轻薄程度：轻薄,0,该店铺购买≥2次,5,32G,1T,16
519,jd150976wnr,2025-10-22,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,运行速度：很快。屏幕效果：很漂亮。散热性能：很好。外形外观：很漂亮。轻薄程度：特别轻薄。,0,该店铺购买≥2次,5,32G,1T,16
520,Y***月,2025-06-11,【2025新款】Pro16英寸 OLED高刷 标压锐龙7 H 255|24G 1T,物流特别快，上午买的下午就到了，外观很好看，而且屏幕素质优秀，特别清晰，电脑尺寸很大，看动漫很爽，而且有国补优惠，便宜了很多，感觉确实划算，还有小键盘，打字写文件也方便，无论是办公还是追剧打游戏都很好。,2,否,5,24G,1T,16
521,w***3,2025-02-18,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,咋天下单的联想小新Pro 14，今天上午就送到了。用了大半天，感觉很不错。CPU是英特尔酷睿Ultra，运行内存32GB，主硬盘1T固态硬盘，电池容量84Wh，家庭用的高配置。还有国家补贴20%，达到了1千1百多。购买时客服小林全程帮助，实在是太感谢了。,0,否,5,32G,1T,14
522,j***f,2025-04-09,【性能大屏】Pro16英寸 2.5K高刷 标压酷睿Ultra 5|32G 1T,一直想买联想的笔记本，这台做工很好，配置又高，运行超快。酷睿ultra系列的cpu，32g内存，1T固态，显示性能特别好，外观超薄。联想的产品是越做越好了，给儿子买的，他超喜欢。,1,否,5,32G,1T,16
523,嗷***呜,2025-03-09,【性能大屏】Pro16英寸 2.5K高刷 标压酷睿Ultra 5|32G 1T,家里是有台式机的，平时是妈妈在玩游戏用，最近接了几个项目就要抢电脑用了，而且台式好几年了，做文档表格都很卡顿。所以问了朋友，给我推荐了这款笔记本，大屏幕，用了酷睿Ultra 5处理器，开机速度15秒，打开网页的速度也是很快，大屏幕的色彩饱和度很高，很柔和，我工作一下午也不酸眼睛。今天是第一天使用，给我的感觉不错。本来还在纠结是买华为还是联想，现在看来还是联想老牌子更值得信赖！,1,该店铺购买≥2次,5,32G,1T,16
524,1***9,2025-04-04,【性能大屏】Pro16英寸 2.5K高刷 标压酷睿Ultra 5|32G 1T,笔记本用的是酷睿ultra芯片，智能芯片core ultra5 125h能带来一定的智能体验，金属机身，质感很好，厚度也适合随身携带，静音效果很不错，正常轻度使用的时候基本听不到声音。节能管理也很不错，离开电脑前后会自动熄屏，回来后自动登入，而且带插电保护电池功能，适合办公和轻度游戏。,0,该店铺购买≥2次,5,32G,1T,16
525,金***g,2025-02-26,【性能大屏】Pro16英寸 2.5K高刷 标压酷睿Ultra 5|32G 1T,对比很多，还是选择了在京东买联想，大品牌，可靠放心。酷睿 Ultra5 运行非常流畅，屏幕清晰，外观也洋气好看，轻薄方便，京东送货速度特别快，整体都很满意哦,2,否,5,32G,1T,16
526,j***g,2025-03-28,【超能轻薄】Pro14英寸 2.8K高刷 标压酷睿Ultra 5|32G 1T,电脑收到就用了，比想象中好很多，工作需要，酷睿Ultra处理器?32G内存足够用了，款式很好看，颜值控可以放心入手，很薄，14寸的大小很合适，外出携带非常方便。,0,否,5,32G,1T,14
527,b***0,2025-02-28,【性能大屏】Pro16英寸 2.5K高刷 标压酷睿Ultra 5|32G 1T,酷睿Ultra运行速度：很顺滑，开机基本上耗时16秒屏幕效果：适合，喜欢，很清晰散热性能：目前没有觉得发热外形外观：顺滑，看起来不笨重轻薄程度：轻薄，移动办公很方便，不觉得重,0,否,5,32G,1T,16
528,j***f,2025-02-05,【性能大屏】Pro16英寸 2.5K高刷 标压酷睿Ultra 5|32G 1T,第一次购买联想小新笔记本，配置了最新的英特尔酷睿Ultra5 125H标压处理器，32g内存，1T固态硬盘，用起来非常流畅，外观很有质感，16寸大屏幕，体验感觉挺好，集显性能还是不错的，可以流程玩网游和观看4K视频，大电池续航能力也可以，用来办公比较轻便，整体比较满意！,0,该店铺购买≥2次,5,32G,1T,16
529,j***k,2025-02-03,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,给女儿买来学习平面设计用的，使用了个把星期才来评价，非常满意的一次购物。屏幕显示非常清晰，外观漂亮。运行速度：第一次开机挺慢的，后来速度很快散热性能：不错，没什么噪音外形外观：无磕碰屏幕效果：色泽清晰轻薄程度：挺轻薄的,0,该店铺购买≥2次,5,32G,1T,16
530,广***瑞,2025-03-01,【性能大屏】Pro16英寸 2.5K高刷 标压酷睿Ultra 5|32G 1T,收到小新16寸，试用了几天，产品外观漂亮，酷睿Ultra’运行流畅，屏幕清晰，久看不累，开机运行一天，不卡顿，键盘布局特别有单独数字键，办公特别方便，爱死了,0,该店铺购买≥2次,5,32G,1T,16
531,o***l,2025-05-06,【2025新款】Pro16英寸 OLED高刷 标压酷睿2代Ultra 5|32G 1T,运行速度：刚开始开机时较慢，但这是正常的，后面注册后，开机很快，用了16秒屏幕效果：屏幕是蓝光护眼的，没有划痕散热性能：使用第二天，目前没有发很大的热，散热性能好外形外观：非常喜欢这个灰色，非常大气轻薄程度：还挺轻的,12,否,5,32G,1T,16
532,哦***酱,2025-05-03,16英寸锐龙版 标压锐龙7 H 255|24G 1T,运行速度：非常快屏幕效果：屏幕清晰度非常高散热性能：散热很快外形外观：外形时尚美观大气轻薄程度：轻薄便携其他特色：超级好用、性能强劲。日常学习办公，完全不在话下。,94,否,5,24G,1T,16
533,j***l,2025-02-16,【性能大屏】Pro16英寸 2.5K高刷 标压酷睿Ultra 5|32G 1T,新电脑用来工作的，很顺畅，验机的时候也安全下车。外观设计大方，轻薄，性能方面处理的也快，键盘手感也不错，屏幕效果也好，验机的时候试了一下，没有漏光，非常推荐大家使用,0,否,5,32G,1T,16
534,逝***光,2025-03-28,【超能轻薄】Pro14英寸 2.8K高刷 标压酷睿Ultra 5|32G 1T,买之前做了几天对比，综合之下选择小新。到了迫不及待得打开电脑，酷睿UItra芯片运行非常快，金属机身灰色是我喜欢的颜色，有背光键盘，屏幕色彩也非常看好，主要是一直使用联想的笔记本电脑，用起来也顺手。,0,该店铺购买≥2次,5,32G,1T,14
535,j***6,2025-04-02,【超能轻薄】Pro14英寸 2.8K高刷 标压酷睿Ultra 5|32G 1T,酷睿ultra5质量很过关，品质有保障 显示屏清晰，便携带，使用过程中没有出现任何问题。运行速度：运行速度快外形外观：挺时尚的轻薄程度：还可以,0,该店铺购买≥2次,5,32G,1T,14
536,五***y,2025-03-10,【性能大屏】Pro16英寸 2.5K高刷 标压酷睿Ultra 5|32G 1T,运行速度：好屏幕效果：清晰明亮外形外观：很好轻薄程度：薄。联想大品牌，16酷睿Ultra是参考了很多，最终的选择。客服也非常有耐心，细心解答，新手小白购买也不怕。??,0,该店铺购买≥2次,5,32G,1T,16
537,j***j,2025-02-21,【性能大屏】Pro16英寸 2.5K高刷 标压酷睿Ultra 5|32G 1T,运行速度：很流畅，一点也没有卡顿的感觉外形外观：金属外观，很大气，很高级屏幕效果：色彩鲜艳，大屏幕追剧爽翻天轻薄程度：电脑也很轻薄运行速度：运行速度很快，剪视频非常的快,1,否,5,32G,1T,16
538,j***n,2025-03-15,【2025新款】Pro14英寸 OLED高刷 标压酷睿5 220H|24G 1T,买过一段时间了，开机很快，电脑在性能、屏幕、便携性等方面表现突出，对于日常学习，高效处理文档、多任务运行完全够用了值得购买，国补也优惠了不少，机体轻薄，出差带着基本无压力，用起来丝滑流畅，续航也ok，推荐,0,否,5,24G,1T,14
